frame,time,kinetic_energy,frame_time_ms,total_vorticity
0,0.016667,0.82179862,9234.317,24992.505859
1,0.033333,3.3293798,1339.364,0.0
2,0.05,7.39892769,3929.311,0.0
3,0.066667,13.20926571,1283.554,0.0
4,0.083333,20.26027489,2326.073,0.0
5,0.1,28.93428612,1122.206,0.0
6,0.116667,34.56925964,1546.347,0.0
7,0.133333,34.27075958,1319.414,0.0
8,0.15,33.9587822,2877.788,0.0
9,0.166667,33.51412964,4020.397,0.0
10,0.183333,34.24559021,2823.377,0.0
11,0.2,33.21366119,5151.368,0.0
12,0.216667,33.05459213,4215.592,0.0
13,0.233333,33.89311981,2454.637,0.0
14,0.25,33.33081818,6097.043,0.0
15,0.266667,33.35794067,3224.23,0.0
16,0.283333,32.56819916,3418.574,0.0
17,0.3,32.11545563,3878.957,0.0
18,0.316667,32.00299835,2858.555,0.0
19,0.333333,31.29183578,3797.0,0.0
20,0.35,31.8586483,10532.392,0.0
21,0.366667,31.81290245,12633.108,0.0
22,0.383333,31.33176613,5830.957,0.0
23,0.4,31.15196228,8953.24,0.0
24,0.416667,30.95375824,13191.393,0.0
25,0.433333,30.46918488,7731.601,0.0
26,0.45,30.44621277,21869.432,0.0
27,0.466667,30.16272926,15092.95,0.0
28,0.483333,29.92890358,16268.022,0.0
29,0.5,29.47820854,17403.64,0.0
30,0.516667,29.15198517,5278.123,579761.0
31,0.533333,28.21907425,20108.5,0.0
32,0.55,27.7948761,22790.792,0.0
33,0.566667,27.3139801,25211.011,0.0
34,0.583333,26.78712273,39572.825,0.0
35,0.6,26.20614815,34819.256,0.0
36,0.616667,25.53018379,18741.491,0.0
37,0.633333,24.69002342,8704.356,0.0
38,0.65,24.67509651,3421.593,0.0
39,0.666667,23.51646614,25037.682,0.0
40,0.683333,22.99604607,15352.564,0.0
41,0.7,21.99992561,5098.517,0.0
42,0.716667,20.81552696,18074.28,0.0
43,0.733333,19.88009644,16408.458,0.0
44,0.75,18.98431206,20060.853,0.0
45,0.766667,18.15280533,7326.391,0.0
46,0.783333,17.47462273,3653.235,0.0
47,0.8,16.28949547,18605.535,0.0
48,0.816667,15.33394432,21294.591,0.0
49,0.833333,14.5656929,4530.2,0.0
50,0.85,13.22112274,8881.51,0.0
51,0.866667,12.12037945,7145.093,0.0
52,0.883333,10.98439789,13832.901,0.0
53,0.9,9.90843487,20085.76,0.0
54,0.916667,8.8420105,16400.821,0.0
55,0.933333,7.7955513,10582.917,0.0
56,0.95,6.85646963,10386.992,0.0
57,0.966667,6.0071578,12200.779,0.0
58,0.983333,5.26082993,16744.519,0.0
59,1.0,4.6691947,12385.073,0.0
60,1.016667,4.19981432,14587.437,477165.09375
61,1.033333,3.8676455,12823.612,0.0
62,1.05,3.71559334,9586.531,0.0
63,1.066667,3.68630147,17622.713,0.0
64,1.083333,3.8231833,9906.112,0.0
65,1.1,3.97502613,14056.817,0.0
66,1.116667,4.12560511,12045.534,0.0
67,1.133333,3.90972877,10039.516,0.0
68,1.15,3.84530091,10654.95,0.0
69,1.166667,4.25418663,2892.537,0.0
70,1.183333,3.9451251,12805.544,0.0
71,1.2,3.95100117,13572.228,0.0
72,1.216667,3.95654964,10015.576,0.0
73,1.233333,3.93777585,9098.019,0.0
74,1.25,3.82849693,18026.509,0.0
75,1.266667,4.00627613,2695.454,0.0
76,1.283333,3.76569676,13125.677,0.0
77,1.3,4.44663954,5098.854,0.0
78,1.316667,4.47012949,4078.231,0.0
79,1.333333,4.2630415,5362.415,0.0
80,1.35,4.40832281,5762.339,0.0
81,1.366667,4.40746069,3944.51,0.0
82,1.383333,4.12265778,6647.214,0.0
83,1.4,3.95826745,5800.933,0.0
84,1.416667,3.93258619,5571.261,0.0
85,1.433333,3.916394,5435.275,0.0
