frame,time,kinetic_energy,frame_time_ms,total_vorticity
0,0.016667,0.0432,362.212,260.746094
1,0.033333,0.08639667,563.2,0.0
2,0.05,0.12959762,624.209,0.0
3,0.066667,0.17277116,782.426,0.0
4,0.083333,0.21598169,833.204,0.0
5,0.1,0.25919411,947.721,0.0
6,0.116667,0.30238757,979.683,0.0
7,0.133333,0.3455987,1134.486,0.0
8,0.15,0.38878292,1194.018,0.0
9,0.166667,0.4319979,1381.423,0.0
10,0.183333,0.47519705,1394.762,0.0
11,0.2,0.51839179,1052.371,0.0
12,0.216667,0.56159592,1505.429,0.0
13,0.233333,0.60479134,1456.243,0.0
14,0.25,0.64798278,1616.124,0.0
15,0.266667,0.69118661,1588.552,0.0
16,0.283333,0.73438907,1562.901,0.0
17,0.3,0.77757782,1646.174,0.0
18,0.316667,0.82078177,1513.526,0.0
19,0.333333,0.86399513,1464.095,0.0
20,0.35,0.90718496,1554.444,0.0
21,0.366667,0.95036918,1595.051,0.0
22,0.383333,0.99358505,1563.019,0.0
23,0.4,1.03679109,1478.024,0.0
24,0.416667,1.07997727,1571.527,0.0
25,0.433333,1.12318945,1576.829,0.0
26,0.45,1.16639626,1722.228,0.0
27,0.466667,1.20959544,1711.99,0.0
28,0.483333,1.25279975,1537.498,0.0
29,0.5,1.29597938,1591.727,0.0
30,0.516667,1.32983732,1644.937,53879.65625
31,0.533333,1.35293496,1971.581,0.0
32,0.55,1.38198733,2242.593,0.0
33,0.566667,1.41320455,2146.629,0.0
34,0.583333,1.44805491,2322.626,0.0
35,0.6,1.48305869,2192.135,0.0
36,0.616667,1.51533937,2128.136,0.0
37,0.633333,1.54674399,2297.645,0.0
38,0.65,1.578421,2467.211,0.0
39,0.666667,1.61084199,2523.091,0.0
40,0.683333,1.64601135,2530.961,0.0
41,0.7,1.68141639,2699.06,0.0
42,0.716667,1.71552718,2617.388,0.0
43,0.733333,1.75132143,2627.015,0.0
44,0.75,1.79007697,2649.251,0.0
45,0.766667,1.82709718,2924.269,0.0
46,0.783333,1.86232901,2838.171,0.0
47,0.8,1.90141022,2967.306,0.0
48,0.816667,1.93972445,3125.245,0.0
49,0.833333,1.97809517,3192.381,0.0
50,0.85,2.01714373,3316.244,0.0
51,0.866667,2.05747294,3323.624,0.0
52,0.883333,2.09626293,3394.974,0.0
53,0.9,2.13484573,3486.449,0.0
54,0.916667,2.17285562,3505.377,0.0
55,0.933333,2.20987511,3805.791,0.0
56,0.95,2.24797487,3778.919,0.0
57,0.966667,2.28127813,3819.523,0.0
58,0.983333,2.29445791,3867.555,0.0
59,1.0,2.30087209,3711.52,0.0
60,1.016667,2.31157947,3834.85,453718.75
61,1.033333,2.31944132,4185.415,0.0
62,1.05,2.32280207,4153.56,0.0
63,1.066667,2.32882166,3856.569,0.0
64,1.083333,2.33282304,4057.783,0.0
65,1.1,2.33642983,4244.331,0.0
66,1.116667,2.34287906,3227.855,0.0
