frame,time,flip_kinetic_energy,apic_kinetic_energy,polypic_kinetic_energy
110,1.850000,2.78341889,2.36122513,2.50983262
111,1.866667,2.79951549,2.36138964,2.51128793
112,1.883333,2.83389235,2.36120892,2.51270199
113,1.900000,2.82883048,2.36172271,2.51352406
114,1.916667,2.83817101,2.36187625,2.51461339
115,1.933333,2.84986567,2.36190248,2.51410604
116,1.950000,2.90222764,2.36166549,2.51315928
117,1.966667,2.95412087,2.36290026,2.51287723
118,1.983333,2.99945974,2.36199808,2.51178408
119,2.000000,2.98239803,2.35982251,2.51370740
120,2.016667,3.03399682,2.35826921,2.51406527
121,2.033333,3.09290838,2.35895228,2.51555228
122,2.050000,3.08487511,2.35943246,2.51657248
123,2.066667,3.15257812,2.35777044,2.51738453
124,2.083333,3.18718886,2.35892057,2.51852107
125,2.100000,3.20300055,2.35984921,2.51993489
126,2.116667,3.25166917,2.36008430,2.52279186
127,2.133333,3.29331565,2.35878158,2.52475142
128,2.150000,3.33171225,2.35750103,2.52379274
129,2.166667,3.36453342,2.35748744,2.52351999
130,2.183333,3.36233783,2.35742736,2.52451873
131,2.200000,3.40650272,2.35669017,2.52535462
132,2.216667,3.39887094,2.35756946,2.52549195
133,2.233333,3.42168474,2.35845447,2.52525926
134,2.250000,3.52152991,2.35712814,2.52517247
135,2.266667,3.58255410,2.35754466,2.52611732
136,2.283333,3.59306812,2.35835624,2.52692246
137,2.300000,3.57732344,2.35890698,2.52910972
138,2.316667,3.67848492,2.36017585,2.52955675
139,2.333333,3.76125193,2.36052847,2.53164744
140,2.350000,3.78168535,2.36020708,2.53194404
141,2.366667,3.76953673,2.36037588,2.53399801
142,2.383333,3.80785871,2.35982513,2.53492785
143,2.400000,3.82711172,2.36004663,2.53579164
144,2.416667,3.92956686,2.35975766,2.53620601
145,2.433333,3.98223782,2.35954356,2.53593636
146,2.450000,3.98766899,2.35837650,2.53712726
147,2.466667,3.96857810,2.35971475,2.53910637
148,2.483333,4.05438948,2.36092162,2.54097509
149,2.500000,4.01373148,2.36099696,2.54280400
150,2.516667,4.18043804,2.36092114,2.54413271
151,2.533333,4.19265270,2.36039162,2.54375648
152,2.550000,4.26686668,2.36186242,2.54507780
153,2.566667,4.28282881,2.36123395,2.54785419
154,2.583333,4.25577021,2.36012673,2.54740119
155,2.600000,4.28080130,2.36026788,2.54721069
156,2.616667,4.35518360,2.35919929,2.54892540
157,2.633333,4.37899351,2.35787058,2.54966235
158,2.650000,4.49334526,2.35948324,2.54995751
159,2.666667,4.47485924,2.35905313,2.55015039
160,2.683333,4.49558020,2.35875869,2.55124712
161,2.700000,4.51070070,2.35683036,2.55262661
162,2.716667,4.49528074,2.35681009,2.55277491
163,2.733333,4.61751938,2.35891008,2.55458856
164,2.750000,4.64553356,2.35971379,2.55739689
165,2.766667,4.57280445,2.36072612,2.55827856
166,2.783333,4.65491676,2.36113405,2.55751681
167,2.800000,4.73503971,2.35941911,2.55787635
168,2.816667,4.68501949,2.35782528,2.55892229
169,2.833333,4.76321650,2.35887837,2.55913472
170,2.850000,4.76511288,2.35933900,2.55981302
171,2.866667,4.79053831,2.36064529,2.56184363
172,2.883333,4.90285158,2.35953116,2.56259561
173,2.900000,4.89727402,2.36111403,2.56202722
174,2.916667,4.90039921,2.36190724,2.55996299
175,2.933333,4.85000420,2.36086035,2.56048870
176,2.950000,4.93657637,2.36126065,2.55974078
177,2.966667,4.98606110,2.36014676,2.55697513
178,2.983333,5.00620222,2.36124444,2.55744386
179,3.000000,5.01881838,2.36133027,2.55620503
180,3.016667,5.07283878,2.35989523,2.55568075
181,3.033333,5.06977654,2.35908961,2.55397487
182,3.050000,5.11558676,2.35907960,2.55222011
183,3.066667,5.20728683,2.35789371,2.55021048
184,3.083333,5.18520832,2.35902572,2.54921818
185,3.100000,5.13778591,2.35949254,2.54791665
186,3.116667,5.20753241,2.35895038,2.55016351
187,3.133333,5.29150152,2.35723948,2.55171990
188,3.150000,5.23043966,2.35461426,2.55251217
189,3.166667,5.34894323,2.35592985,2.55737066
190,3.183333,5.35633183,2.35582757,2.56269717
191,3.200000,5.42654610,2.35614800,2.57147050
192,3.216667,5.40017080,2.35743403,2.57317019
193,3.233333,5.36007738,2.35733938,2.57621503
194,3.250000,5.43261671,2.35738945,2.58138990
195,3.266667,5.47122383,2.35887122,2.58481336
196,3.283333,5.58163404,2.35984826,2.58754706
197,3.300000,5.53812027,2.35870862,2.58997226
198,3.316667,5.52686977,2.35733652,2.59224868
199,3.333333,5.46129370,2.35923004,2.59270096
200,3.350000,5.54943275,2.36029983,2.59243369
201,3.366667,5.66611099,2.36028814,2.59302688
202,3.383333,5.63920927,2.35889196,2.59270597
203,3.400000,5.63428211,2.35902286,2.59288692
204,3.416667,5.76351976,2.36039639,2.59297061
205,3.433333,5.70463276,2.36207628,2.59429717
206,3.450000,5.73307514,2.36011982,2.59243274
207,3.466667,5.78947783,2.36029267,2.59186506
208,3.483333,5.67990828,2.35991335,2.59163427
209,3.500000,5.79117012,2.35868812,2.59172821
210,3.516667,5.96115017,2.35807586,2.59077430
211,3.533333,5.94252396,2.35870695,2.59161425
212,3.550000,6.01577187,2.35939217,2.59231615
213,3.566667,6.05007410,2.35775447,2.59208560
214,3.583333,6.01314497,2.35743856,2.59418178
215,3.600000,6.12457561,2.35640717,2.59538603
216,3.616667,5.89841366,2.35561919,2.59685898
217,3.633333,6.08942795,2.35536098,2.59665561
218,3.650000,6.05235386,2.35503435,2.59736943
219,3.666667,6.14447546,2.35396814,2.59817171
220,3.683333,6.14444780,2.35398889,2.59876204
221,3.700000,5.95042753,2.35134459,2.59891868
222,3.716667,6.19819307,2.34951210,2.59851336
223,3.733333,6.23073578,2.34806776,2.59773684
224,3.750000,6.19573927,2.34707189,2.59784031
225,3.766667,6.27407837,2.34582376,2.59873438
226,3.783333,6.18883324,2.34603357,2.59980583
227,3.800000,6.47954226,2.34545851,2.60163164
228,3.816667,6.39556694,2.34532380,2.60393429
229,3.833333,6.44369888,2.34531784,2.60482597
230,3.850000,6.43337965,2.34539747,2.60637355
231,3.866667,6.46488428,2.34433579,2.60737610
232,3.883333,6.48005247,2.34455323,2.60838079
233,3.900000,6.60666180,2.34459996,2.60776377
234,3.916667,6.64152575,2.34382772,2.60586047
235,3.933333,6.61892128,2.34493279,2.60867214
236,3.950000,6.58280993,2.34498429,2.61064529
237,3.966667,6.68079519,2.34574103,2.61111212
238,3.983333,6.82081938,2.34729242,2.61168575
239,4.000000,6.70939302,2.34820890,2.61183548
240,4.016667,6.88556099,2.34852910,2.61163068
241,4.033333,6.74974775,2.34906983,2.61325264
242,4.050000,6.75296497,2.34892678,2.61380076
243,4.066667,6.72843504,2.34823442,2.61484623
244,4.083333,6.81492281,2.35019302,2.61447382
245,4.100000,6.85473013,2.35008955,2.61428571
246,4.116667,6.85718632,2.34929395,2.61558008
247,4.133333,6.99232054,2.35102367,2.61640453
248,4.150000,6.89584494,2.35183907,2.61605191
249,4.166667,6.94226360,2.35216975,2.61872911
250,4.183333,7.02725220,2.35273719,2.61987925
251,4.200000,7.02202415,2.35203218,2.61939526
252,4.216667,7.06580305,2.35071850,2.61850166
253,4.233333,7.00129175,2.35069227,2.62080789
254,4.250000,6.97850561,2.34990859,2.62052393
255,4.266667,6.98371983,2.35011435,2.62012291
256,4.283333,6.93867731,2.34912395,2.61916780
257,4.300000,6.98909998,2.34899473,2.62034988
258,4.316667,7.18202162,2.34911370,2.62270832
259,4.333333,7.33118391,2.34930062,2.62089324
260,4.350000,7.33720922,2.34874558,2.61954498
261,4.366667,7.39005518,2.34776640,2.61997676
262,4.383333,7.37760019,2.34682798,2.62010932
263,4.400000,7.34423637,2.34810901,2.61955523
264,4.416667,7.39674711,2.34870410,2.62110972
265,4.433333,7.47595692,2.34846067,2.62269068
266,4.450000,7.45107031,2.34740520,2.62376618
267,4.466667,7.52003145,2.34636188,2.62197423
268,4.483333,7.58461571,2.34623933,2.62214613
269,4.500000,7.48379707,2.34489489,2.62185812
270,4.516667,7.69656134,2.34548187,2.62164211
271,4.533333,7.62533331,2.34521747,2.62334251
272,4.550000,7.55933857,2.34530807,2.62433934
273,4.566667,7.66121817,2.34422040,2.62392473
274,4.583333,7.69406366,2.34425950,2.62370157
275,4.600000,7.65394068,2.34306335,2.62393880
276,4.616667,7.92975712,2.34333968,2.62477398
277,4.633333,7.65383196,2.34325600,2.62426877
278,4.650000,7.74419212,2.34371758,2.62357950
279,4.666667,7.85901737,2.34371781,2.62538576
280,4.683333,7.87249041,2.34421039,2.62686539
281,4.700000,7.76666307,2.34344888,2.62698674
282,4.716667,7.90341949,2.34346938,2.62716246
283,4.733333,7.77123976,2.34353232,2.62692308
284,4.750000,8.05545044,2.34280229,2.62764311
285,4.766667,7.96053553,2.34153080,2.62761331
286,4.783333,8.04878616,2.34077477,2.62766314
287,4.800000,8.14605427,2.34096336,2.62816477
288,4.816667,8.11051941,2.33971167,2.62904143
289,4.833333,8.14977455,2.33942652,2.62952137
290,4.850000,8.14524174,2.33963180,2.62930560
291,4.866667,8.26584148,2.34013343,2.62792087
292,4.883333,8.31922245,2.33987856,2.62786651
293,4.900000,8.08375168,2.33862138,2.62828374
294,4.916667,8.22612476,2.33935142,2.63019872
295,4.933333,8.21289253,2.33951592,2.62828970
296,4.950000,8.20588493,2.34033465,2.62545586
297,4.966667,8.20400810,2.34077859,2.62628412
298,4.983333,8.48510933,2.33906937,2.62415123
299,5.000000,8.39591694,2.33835316,2.61972690
