frame,time,kinetic_energy,frame_time_ms,total_vorticity
0,0.016667,0.0432,294.822,260.746033
1,0.033333,0.08638858,217.991,0.0
2,0.05,0.12959446,208.186,0.0
3,0.066667,0.17276645,550.767,0.0
4,0.083333,0.21597564,520.927,0.0
5,0.1,0.25918984,507.46,0.0
6,0.116667,0.30238482,653.311,0.0
7,0.133333,0.34559619,771.97,0.0
8,0.15,0.38877812,758.652,0.0
9,0.166667,0.43198633,855.88,0.0
10,0.183333,0.47519502,838.306,0.0
11,0.2,0.51838565,840.753,0.0
12,0.216667,0.56159091,953.741,0.0
13,0.233333,0.60479045,964.946,0.0
14,0.25,0.64798832,919.377,0.0
15,0.266667,0.69119227,1066.731,0.0
16,0.283333,0.73437631,1050.335,0.0
17,0.3,0.7775681,1135.923,0.0
18,0.316667,0.82078689,1184.006,0.0
19,0.333333,0.86399651,1217.963,0.0
20,0.35,0.90717959,1206.998,0.0
21,0.366667,0.95036006,1085.942,0.0
22,0.383333,0.99356687,1068.172,0.0
23,0.4,1.03678322,1189.952,0.0
24,0.416667,1.07997096,1041.839,0.0
25,0.433333,1.12318861,1149.074,0.0
26,0.45,1.16639984,1234.45,0.0
27,0.466667,1.20959389,1206.692,0.0
28,0.483333,1.25278759,1224.512,0.0
29,0.5,1.29595935,1153.706,0.0
30,0.516667,1.33008146,1185.887,52612.53125
31,0.533333,1.35312676,1330.88,0.0
32,0.55,1.38296354,1524.254,0.0
33,0.566667,1.41561568,1546.97,0.0
34,0.583333,1.45060611,1659.741,0.0
35,0.6,1.48489845,1501.933,0.0
36,0.616667,1.51668251,1737.815,0.0
37,0.633333,1.54666603,1670.417,0.0
38,0.65,1.57741404,1582.646,0.0
39,0.666667,1.61037636,1630.831,0.0
40,0.683333,1.64598083,1716.136,0.0
41,0.7,1.68083572,1655.06,0.0
42,0.716667,1.71454823,1873.302,0.0
43,0.733333,1.74832809,1987.706,0.0
44,0.75,1.78437531,1955.04,0.0
45,0.766667,1.82127452,2030.13,0.0
46,0.783333,1.85841632,2029.899,0.0
47,0.8,1.89381647,2133.83,0.0
48,0.816667,1.92788291,2126.789,0.0
49,0.833333,1.96018684,2013.647,0.0
50,0.85,1.99589097,2099.864,0.0
51,0.866667,2.03046036,2350.656,0.0
52,0.883333,2.06354523,2513.059,0.0
53,0.9,2.09860086,2732.318,0.0
54,0.916667,2.13149643,2619.054,0.0
55,0.933333,2.16521049,2479.611,0.0
56,0.95,2.19814062,2428.589,0.0
57,0.966667,2.22607017,2800.515,0.0
58,0.983333,2.23632002,2965.857,0.0
59,1.0,2.24102426,3135.797,0.0
60,1.016667,2.24992728,2814.637,691235.5625
61,1.033333,2.25138474,2569.18,0.0
62,1.05,2.25337172,2937.629,0.0
63,1.066667,2.25881648,2994.459,0.0
64,1.083333,2.26393104,3178.884,0.0
65,1.1,2.2727437,2698.117,0.0
66,1.116667,2.27720642,2121.624,0.0
67,1.133333,2.27987909,2838.344,0.0
68,1.15,2.29347324,1877.399,0.0
69,1.166667,2.30944633,1926.595,0.0
70,1.183333,2.32792354,1802.602,0.0
71,1.2,2.33585691,2888.452,0.0
72,1.216667,2.35007548,2095.702,0.0
73,1.233333,2.39767218,760.658,0.0
74,1.25,2.39687824,3073.203,0.0
75,1.266667,2.40971494,2564.332,0.0
76,1.283333,2.41523433,2946.77,0.0
77,1.3,2.42132306,3305.564,0.0
78,1.316667,2.44574118,2622.266,0.0
79,1.333333,2.45767856,2634.228,0.0
80,1.35,2.48318458,1101.446,0.0
81,1.366667,2.51099753,1759.11,0.0
82,1.383333,2.5438621,1471.438,0.0
83,1.4,2.53039527,1632.617,0.0
84,1.416667,2.53672934,1775.231,0.0
85,1.433333,2.56241488,1324.674,0.0
86,1.45,2.56667519,2334.337,0.0
87,1.466667,2.57705402,1401.251,0.0
88,1.483333,2.58500695,2598.491,0.0
89,1.5,2.58932686,2848.942,0.0
90,1.516667,2.60663605,1708.838,1453037.375
91,1.533333,2.66719413,1359.442,0.0
92,1.55,2.65397048,1782.384,0.0
93,1.566667,2.67872715,1729.278,0.0
94,1.583333,2.6895442,2106.595,0.0
95,1.6,2.69859362,1813.805,0.0
96,1.616667,2.73052478,1889.638,0.0
97,1.633333,2.72507882,2178.86,0.0
98,1.65,2.75265765,1800.58,0.0
99,1.666667,2.77844429,2170.432,0.0
100,1.683333,2.82126403,2106.106,0.0
101,1.7,2.8397541,1438.26,0.0
102,1.716667,2.85421705,2104.659,0.0
103,1.733333,2.85431361,2716.675,0.0
104,1.75,2.91909575,1799.047,0.0
105,1.766667,2.89728189,1902.755,0.0
106,1.783333,2.88913369,2744.736,0.0
107,1.8,2.89755177,1912.33,0.0
108,1.816667,2.97871065,1224.392,0.0
109,1.833333,2.96852374,2595.804,0.0
110,1.85,3.00633383,1991.569,0.0
111,1.866667,3.02677894,1387.266,0.0
112,1.883333,3.04177213,1178.521,0.0
113,1.9,3.04424882,1666.321,0.0
114,1.916667,3.13941193,1397.751,0.0
115,1.933333,3.11892653,1660.326,0.0
116,1.95,3.18407536,1802.114,0.0
117,1.966667,3.16125488,2020.338,0.0
118,1.983333,3.16685891,2229.078,0.0
119,2.0,3.29365611,690.238,0.0
120,2.016667,3.21911907,1512.602,2238570.0
121,2.033333,3.18795371,2519.85,0.0
122,2.05,3.26223898,1748.182,0.0
123,2.066667,3.2821331,2637.417,0.0
124,2.083333,3.3446312,1971.271,0.0
125,2.1,3.38257837,1349.921,0.0
126,2.116667,3.42757511,2297.308,0.0
127,2.133333,3.50749421,1476.531,0.0
128,2.15,3.53991842,1397.653,0.0
129,2.166667,3.54318857,1575.226,0.0
130,2.183333,3.62222934,1635.757,0.0
131,2.2,3.65557575,1182.308,0.0
132,2.216667,3.69954848,1292.877,0.0
133,2.233333,3.78694773,1175.538,0.0
134,2.25,3.81522179,1087.23,0.0
135,2.266667,3.81562328,1493.539,0.0
136,2.283333,3.86982059,1025.939,0.0
137,2.3,3.92311692,1461.416,0.0
138,2.316667,3.98329997,1437.732,0.0
139,2.333333,4.0384407,623.129,0.0
140,2.35,4.07592773,885.315,0.0
